nombre,nombre_completo,apellido_paterno,apellidos_completos,documento_identidad,ruc,pasaporte,telefono_fijo,telefono_celular,correo_electronico,direccion_completa,genero,raza_etnia,religion,orientacion_sexual,discapacidad,nivel_educativo_padres,fecha_nacimiento,departamento,provincia,distrito,codigo_ubigeo,latitud,longitud,monto_transaccion,edad,ocupacion,fecha_formato_patron,direccion_ip,numero_tarjeta,iban
Socorro,Socorro Nogueira Español,Nogueira,Nogueira Español,73332712,20733327120,TZ614252,(08) 395537,+51975923950,socorro.nogueira@camacho.com,Calle Clementina Nuñez 29 Puerta 1 ,Femenino,Afroperuana,Agnóstica,LGBTQ+,False,Postgrado,1971-05-13,Junín,Huancayo,El Tambo,120101,-12.083207490977331,-75.20946764236372,7371.04,54,Patronista y cortador de tela,13/05/1971,148.118.77.103,4783-XXXX-XXXX-2127,PE91182397573979038241
Fernando,Fernando Alsina Soto,Alsina,Alsina Soto,82168808,20821688086,JZ848311,(01) 101531,+51966687419,fernando.alsina@fabrica.es,Avenida Aitana Roldan 54,No Binario,Caucásica,Agnóstica,Heterosexual,False,Secundaria,1989-12-21,Lima,Lima,Miraflores,150122,-12.158470892983347,-77.02270722367157,3815.93,35,Suboficial de las fuerzas armadas,21/12/1989,67.108.202.0,4230-XXXX-XXXX-4230,PE51407241869724825502
Ignacia,Ignacia Villar Bou,Villar,Villar Bou,51367721,10513677210,DR826803,(08) 936257,+51959181188,ignacia.villar@consultoria.org,Calle de Ruperto Barón 23,Femenino,Andina,Otras,N/A,True,Primaria,1994-04-20,Piura,Piura,Castilla,200103,-5.24371674235128,-80.6464860701457,8245.8,31,Controlador de tráfico aéreo,20/04/1994,4.38.209.44,4193-XXXX-XXXX-4052,PE64469655503027737814
Leandro,Leandro Miró Coronado,Miró,Miró Coronado,29779630,20297796305,TJ579866,(01) 654972,+51904960731,leandro.miró@restauracion.es,Glorieta Benito Barros 26 Puerta 6 ,No Binario,Caucásica,N/A,LGBTQ+,True,Secundaria,1964-04-22,Lima,Lima,Miraflores,150122,-12.124206909851685,-77.08130857539972,8939.73,61,Ingeniero electrónico,22/04/1964,51.125.90.115,4147-XXXX-XXXX-8694,PE93701499020017642351
Carla,Carla Jiménez Trujillo,Jiménez,Jiménez Trujillo,58250263,20582502634,MV558413,(07) 704371,+51969270542,carla.jiménez@industrias.com,C. de Lalo Tapia 59,Masculino,Caucásica,Agnóstica,LGBTQ+,False,Técnico,1967-12-23,Junín,Huancayo,El Tambo,120101,-12.087458562864438,-75.22134938374784,8791.36,57,Operario del tratamiento de la madera,23/12/1967,114.183.108.243,4392-XXXX-XXXX-8796,PE09782166536477549268
Berta,Berta Ocaña Acuña,Ocaña,Ocaña Acuña,41225360,10412253601,BA521808,(03) 477172,+51973022247,berta.ocaña@manrique.com,Alameda de Juan José Pozo 285,No Binario,Andina,Otras,N/A,False,Secundaria,1969-02-25,Junín,Huancayo,El Tambo,120101,-12.079782451556886,-75.2480727317145,2678.61,56,Agente de compras,25/02/1969,200.83.208.157,4435-XXXX-XXXX-6341,PE29324004641016345766
Ema,Ema Capdevila Villegas,Capdevila,Capdevila Villegas,27339419,20273394190,ST692367,(03) 493167,+51941017291,ema.capdevila@dionisio.com,Pasaje de Patricia Rios 61,Masculino,Andina,Católica,LGBTQ+,True,Secundaria,1961-09-22,Piura,Piura,Castilla,200103,-5.193151548561365,-80.60421153143726,8668.11,64,Supervisor de la construcción,22/09/1961,128.102.133.36,4766-XXXX-XXXX-2178,PE92276389548212650087
Jose Manuel,Jose Manuel Navarrete Portillo,Navarrete,Navarrete Portillo,15713027,20157130275,ZF232982,(09) 627281,+51940911909,jose manuel.navarrete@comercial.es,Avenida Salud Aguado 564 Piso 6 ,No Binario,Afroperuana,Agnóstica,N/A,True,Universitario,1987-06-06,Piura,Piura,Castilla,200103,-5.168525661072737,-80.62339077433423,8297.51,38,"Operario de la conservación de frutas, legumbres y verduras",06/06/1987,194.254.74.107,4309-XXXX-XXXX-3585,PE73093588165375612053
Eulalia,Eulalia Macías Velázquez,Macías,Macías Velázquez,28667983,10286679838,DK062736,(06) 243652,+51991031562,eulalia.macías@hermanos.es,Paseo de Aristides Crespo 852 Puerta 2 ,No Binario,Caucásica,Otras,N/A,False,Secundaria,2002-09-20,La Libertad,Trujillo,Huanchaco,130103,-8.112975225000495,-79.11001338873292,8912.88,23,Secretario médicos,20/09/2002,26.128.149.246,4142-XXXX-XXXX-6327,PE27391465815340488725
Asdrubal,Asdrubal Uribe Blanco,Uribe,Uribe Blanco,67779934,10677799349,ZN258664,(01) 594472,+51924886303,asdrubal.uribe@carpio.es,Callejón Custodia Benet 93 Piso 5 ,No Binario,Mestiza,Otras,Heterosexual,True,Secundaria,1997-09-12,Cusco,Cusco,San Sebastián,080132,-13.525834669093916,-71.97342871311027,4003.91,28,Guardagujas,12/09/1997,194.147.204.81,4092-XXXX-XXXX-3928,PE34596489989001586187
